date,created_at,num_of_tweet,favourite_count,followers_count,friends_count,profile_img
2021-08-25,2017-06-29 03:14:08+08:00,6273,3753,768634,668,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-26,2017-06-29 03:14:08+08:00,6276,3753,769023,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-27,2017-06-29 03:14:08+08:00,6277,3754,769448,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-28,2017-06-29 03:14:08+08:00,6283,3756,770623,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-29,2017-06-29 03:14:08+08:00,6284,3756,771132,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-30,2017-06-29 03:14:08+08:00,6284,3756,771440,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-08-31,2017-06-29 03:14:08+08:00,6287,3766,771775,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-01,2017-06-29 03:14:08+08:00,6292,3769,772129,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-02,2017-06-29 03:14:08+08:00,6297,3771,772570,669,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-03,2017-06-29 03:14:08+08:00,6299,3773,773064,671,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-04,2017-06-29 03:14:08+08:00,6306,3778,773899,671,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-05,2017-06-29 03:14:08+08:00,6308,3778,774254,671,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-06,2017-06-29 03:14:08+08:00,6308,3778,774745,671,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
2021-09-07,2017-06-29 03:14:08+08:00,6308,3778,775026,671,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg
